"","X1.x","PL","NAME","YEAR","Team","Avg. Mile","TIME","SCORE","1.1k","3k","X1.y","Region","allAmerican"
"61",61,61,"Naas, Mary","SO","St. Olaf",05:49:00,21:42:00,36,"3:28.9 (3:28.9)","10:37.3 (7:08.4)",5,"Central","Participant"
"62",62,62,"Smith, Caroline","JR","Johns Hopkins",05:49:00,21:42:00,37,"3:25.7 (3:25.7)","10:32.4 (7:06.8)",69,"Mideast","Participant"
"63",63,63,"Patrick, Monica","SR","Allegheny",05:49:00,21:42:00,38,"3:29.4 (3:29.4)","10:37.6 (7:08.3)",229,"Great Lakes","Participant"
"64",64,64,"Gong, Maryann","SR","MIT",05:49:00,21:43:00,39,"3:31.0 (3:31.0)","10:40.0 (7:09.1)",137,"New England","Participant"
"65",65,65,"McCullough, Molly","SO","Trinity (Tex.)",05:49:00,21:43:00,NA,"3:36.3 (3:36.3)","10:45.4 (7:09.1)",262,"South","Participant"
"66",66,66,"Heiden, Chelsey","SR","Wis.-Platteville",05:49:00,21:43:00,NA,"3:35.5 (3:35.5)","10:39.1 (7:03.7)",211,"Midwest","Participant"
"67",67,67,"Arnold, Kaitlyn","SR","Alma",05:49:00,21:44:00,NA,"3:23.8 (3:23.8)","10:25.5 (7:01.7)",249,"Great Lakes","Participant"
"68",68,68,"Conrad, Molly","FR","Dickinson",05:49:00,21:44:00,40,"3:35.8 (3:35.8)","10:44.0 (7:08.3)",70,"Mideast","Participant"
"69",69,69,"Ramirez, Elise","SO","SUNY Geneseo",05:49:00,21:44:00,41,"3:23.2 (3:23.2)","10:30.5 (7:07.4)",31,"Atlantic","Participant"
"70",70,70,"Domro, Taylor","FR","St. Norbert",05:49:00,21:44:00,NA,"3:26.1 (3:26.1)","10:34.9 (7:08.9)",205,"Midwest","Participant"
"71",71,71,"Dwyer, Deirdre","SR","Oneonta",05:50:00,21:45:00,42,"3:22.9 (3:22.9)","10:27.0 (7:04.1)",56,"Atlantic","Participant"
"72",72,72,"Baughman, Mary","SR","Cortland St.",05:50:00,21:45:00,NA,"3:28.1 (3:28.1)","10:35.9 (7:07.9)",45,"Atlantic","Participant"
"73",73,73,"Harleen, Anna","JR","Williams",05:50:00,21:45:00,43,"3:35.3 (3:35.3)","10:43.2 (7:08.0)",136,"New England","Participant"
"74",74,74,"Kroll, Sadie","SO","Wis.-La Crosse",05:50:00,21:45:00,44,"3:31.1 (3:31.1)","10:39.0 (7:08.0)",192,"Midwest","Participant"
"75",75,75,"Kingham, Victoria","JR","Williams",05:50:00,21:45:00,45,"3:31.9 (3:31.9)","10:39.4 (7:07.6)",136,"New England","Participant"
"76",76,76,"Fahey, Kelly","SR","Tufts",05:50:00,21:46:00,46,"3:30.6 (3:30.6)","10:31.4 (7:00.8)",138,"New England","Participant"
"77",77,77,"Fischer, Callie","JR","Wis.-Eau Claire",05:50:00,21:46:00,NA,"3:34.0 (3:34.0)","10:40.8 (7:06.8)",193,"Midwest","Participant"
"78",78,78,"Zanoya, Natasha","SR","Edgewood",05:50:00,21:46:00,NA,"3:27.1 (3:27.1)","10:36.7 (7:09.6)",208,"Midwest","Participant"
"79",79,79,"Wicker, Christina","SR","MIT",05:50:00,21:46:00,47,"3:31.7 (3:31.7)","10:38.6 (7:06.9)",137,"New England","Participant"
"80",80,80,"Strohbehn, Lauren","SR","Calvin",05:50:00,21:47:00,48,"3:29.2 (3:29.2)","10:37.6 (7:08.4)",230,"Great Lakes","Participant"
"81",81,81,"Fossum, Alex","JR","St. Thomas (Minn.)",05:51:00,21:48:00,49,"3:34.4 (3:34.4)","10:48.5 (7:14.1)",4,"Central","Participant"
"82",82,82,"Hevener, Sarah","SO","Allegheny",05:51:00,21:49:00,50,"3:34.2 (3:34.2)","10:42.6 (7:08.4)",229,"Great Lakes","Participant"
"83",83,83,"Tobias, Julissa","JR","Whittier",05:51:00,21:49:00,NA,"3:30.0 (3:30.0)","10:40.6 (7:10.7)",134,"West","Participant"
"84",84,84,"Smith, Ellen","SR","Wis.-La Crosse",05:51:00,21:50:00,51,"3:32.5 (3:32.5)","10:39.0 (7:06.6)",192,"Midwest","Participant"
"85",85,85,"Degen, Ellie","SR","Washington U.",05:51:00,21:50:00,52,"3:36.2 (3:36.2)","10:41.2 (7:05.0)",190,"Midwest","Participant"
"86",86,86,"Maurer, Anna","JR","Washington U.",05:51:00,21:50:00,53,"3:37.4 (3:37.4)","10:49.8 (7:12.5)",190,"Midwest","Participant"
"87",87,87,"Wilson, Jessica","SR","Bates",05:51:00,21:50:00,54,"3:32.7 (3:32.7)","10:41.8 (7:09.2)",139,"New England","Participant"
"88",88,88,"Cardin, Jess","JR","Westfield State",05:52:00,21:52:00,NA,"3:25.8 (3:25.8)","10:22.1 (6:56.3)",153,"New England","Participant"
"89",89,89,"Curran, Ashley","SR","Connecticut College",05:52:00,21:53:00,NA,"3:28.8 (3:28.8)","10:41.1 (7:12.3)",152,"New England","Participant"
"90",90,90,"Marek, Morgan","SO","Wis.-Eau Claire",05:52:00,21:53:00,NA,"3:34.3 (3:34.3)","10:41.7 (7:07.5)",193,"Midwest","Participant"
"91",91,91,"Lawlor, Caitlin","JR","Colby",05:52:00,21:54:00,NA,"3:28.9 (3:28.9)","10:40.1 (7:11.2)",146,"New England","Participant"
"92",92,92,"Willian, Caroline","SR","Claremont-Mudd-Scripps",05:52:00,21:54:00,55,"3:32.7 (3:32.7)","10:43.0 (7:10.3)",118,"West","Participant"
"93",93,93,"Kaegi, Emily","JR","Carleton",05:52:00,21:55:00,56,"3:29.4 (3:29.4)","10:36.9 (7:07.6)",1,"Central","Participant"
"94",94,94,"Herrmann, Emma","FR","Williams",05:52:00,21:55:00,57,"3:39.1 (3:39.1)","10:55.8 (7:16.7)",136,"New England","Participant"
"95",95,95,"Hrusko, Cassandra","SR","Stockton",05:53:00,21:56:00,NA,"3:29.1 (3:29.1)","10:35.9 (7:06.9)",49,"Atlantic","Participant"
"96",96,96,"Bellusci, Marissa","SR","SUNY Geneseo",05:53:00,21:57:00,58,"3:32.2 (3:32.2)","10:41.4 (7:09.2)",31,"Atlantic","Participant"
"97",97,97,"Zimmermann, Leandra","SO","MIT",05:53:00,21:58:00,59,"3:34.6 (3:34.6)","10:46.5 (7:12.0)",137,"New England","Participant"
"98",98,98,"Teaford, Laney","SR","Williams",05:53:00,21:58:00,60,"3:39.1 (3:39.1)","10:56.4 (7:17.3)",136,"New England","Participant"
"99",99,99,"Driscoll, Caroline","SO","St. Lawrence",05:53:00,21:58:00,61,"3:29.5 (3:29.5)","10:45.9 (7:16.5)",37,"Atlantic","Participant"
"100",100,100,"Livernois, Leah","FR","St. Lawrence",05:53:00,21:58:00,62,"3:29.8 (3:29.8)","10:45.4 (7:15.6)",37,"Atlantic","Participant"
"101",101,101,"Franz, Isabella","SR","Connecticut College",05:53:00,21:59:00,NA,"3:28.7 (3:28.7)","10:41.5 (7:12.8)",152,"New England","Participant"
"102",102,102,"Linzmeier, Kristen","JR","Wis.-Oshkosh",05:53:00,21:59:00,63,"3:31.6 (3:31.6)","10:48.9 (7:17.3)",196,"Midwest","Participant"
"103",103,103,"Ackermann, April","SR","Oneonta",05:53:00,21:59:00,64,"3:35.4 (3:35.4)","10:48.9 (7:13.5)",56,"Atlantic","Participant"
"104",104,104,"Barker, Katie","SO","Bates",05:54:00,22:00:00,65,"3:37.0 (3:37.0)","10:57.2 (7:20.2)",139,"New England","Participant"
"105",105,105,"Munyan, Erica","JR","Wis.-Oshkosh",05:54:00,22:00:00,66,"3:31.9 (3:31.9)","10:48.3 (7:16.4)",196,"Midwest","Participant"
"106",106,106,"Holzwarth, Megan","SR","Oneonta",05:54:00,22:00:00,67,"3:36.0 (3:36.0)","10:49.2 (7:13.3)",56,"Atlantic","Participant"
"107",107,107,"Whittle, Sasha","SR","Middlebury",05:54:00,22:01:00,68,"3:29.9 (3:29.9)","10:43.4 (7:13.6)",140,"New England","Participant"
"108",108,108,"Alavilli, Aparna","JR","Carnegie Mellon",05:54:00,22:01:00,NA,"3:32.8 (3:32.8)","10:41.2 (7:08.4)",71,"Mideast","Participant"
"109",109,109,"Peard, Maggie","SR","Williams",05:54:00,22:01:00,69,"3:36.5 (3:36.5)","10:52.8 (7:16.3)",136,"New England","Participant"
"110",110,110,"Belko, Alicia","SR","Stockton",05:54:00,22:01:00,NA,"3:29.1 (3:29.1)","10:39.8 (7:10.7)",49,"Atlantic","Participant"
"111",111,111,"Zehner, Emma","SR","Williams",05:54:00,22:01:00,70,"3:35.2 (3:35.2)","10:42.3 (7:07.1)",136,"New England","Participant"
"112",112,112,"Wood, Allison","SR","Whitworth",05:54:00,22:02:00,71,"3:32.2 (3:32.2)","10:41.5 (7:09.4)",129,"West","Participant"
"113",113,113,"Homeyer, Kristen","JR","SUNY Geneseo",05:54:00,22:02:00,72,"3:30.0 (3:30.0)","10:44.7 (7:14.8)",31,"Atlantic","Participant"
"114",114,114,"McNamee, Brenna","JR","Elizabethtown",05:54:00,22:03:00,73,"3:37.2 (3:37.2)","10:52.9 (7:15.7)",74,"Mideast","Participant"
"115",115,115,"Bettez, Natalie","SO","Tufts",05:54:00,22:03:00,74,"3:31.8 (3:31.8)","10:47.7 (7:15.9)",138,"New England","Participant"
"116",116,116,"Larsen, Jamie","SR","Nebraska Wesleyan",05:54:00,22:03:00,75,"3:36.4 (3:36.4)","10:55.8 (7:19.5)",8,"Central","Participant"
"117",117,117,"Grusby, Rebecca","FR","Johns Hopkins",05:55:00,22:03:00,76,"3:23.1 (3:23.1)","10:24.9 (7:01.9)",69,"Mideast","Participant"
"118",118,118,"Hughes, Sarah","SR","Moravian",05:55:00,22:03:00,NA,"3:39.5 (3:39.5)","10:49.1 (7:09.6)",79,"Mideast","Participant"
"119",119,119,"McGivern, Bridget","SR","St. Thomas (Minn.)",05:55:00,22:03:00,77,"3:34.7 (3:34.7)","10:50.3 (7:15.6)",4,"Central","Participant"
"120",120,120,"Ziolkowski, Sarah","FR","Wis.-La Crosse",05:55:00,22:04:00,78,"3:31.1 (3:31.1)","10:40.1 (7:09.1)",192,"Midwest","Participant"
"121",121,121,"Spencer, Stephenie","JR","Pacific (Ore.)",05:55:00,22:04:00,NA,"3:34.8 (3:34.8)","10:53.8 (7:19.0)",128,"West","Participant"
"122",122,122,"Eccles, Mary","JR","MIT",05:55:00,22:05:00,79,"3:37.8 (3:37.8)","10:43.5 (7:05.8)",137,"New England","Participant"
"123",123,123,"Skinner, Catie","SR","Middlebury",05:55:00,22:05:00,80,"3:34.5 (3:34.5)","10:43.6 (7:09.1)",140,"New England","Participant"
"124",124,124,"Schnirring, Samantha","SO","Carleton",05:55:00,22:06:00,81,"3:38.2 (3:38.2)","10:54.8 (7:16.7)",1,"Central","Participant"
"125",125,125,"Forner, Emily","SO","Allegheny",05:56:00,22:07:00,82,"3:33.4 (3:33.4)","10:48.5 (7:15.1)",229,"Great Lakes","Participant"
"126",126,126,"Morrison, Annika","FR","Ithaca",05:56:00,22:07:00,83,"3:32.5 (3:32.5)","10:44.9 (7:12.5)",33,"Atlantic","Participant"
"127",127,127,"Moline, Rachel","SR","Cornell College",05:56:00,22:07:00,NA,"3:40.5 (3:40.5)","11:03.0 (7:22.6)",14,"Central","Participant"
"128",128,128,"McClish, Shannon","SR","UC Santa Cruz",05:56:00,22:08:00,NA,"3:34.0 (3:34.0)","10:47.6 (7:13.6)",123,"West","Participant"
"129",129,129,"Dalton, Kerri","SR","Roanoke",05:56:00,22:09:00,NA,"3:40.9 (3:40.9)","10:54.3 (7:13.5)",276,"South","Participant"
"130",130,130,"Quinto, Casey","SR","Elizabethtown",05:56:00,22:09:00,84,"3:37.2 (3:37.2)","10:49.0 (7:11.8)",74,"Mideast","Participant"
"131",131,131,"McDaniel, Kaitlyn","JR","Wis.-La Crosse",05:56:00,22:10:00,85,"3:32.5 (3:32.5)","10:48.3 (7:15.8)",192,"Midwest","Participant"
"132",132,132,"Yates, Samantha","SO","Washington and Lee",05:56:00,22:10:00,NA,"3:36.7 (3:36.7)","10:51.5 (7:14.9)",259,"South","Participant"
"133",133,133,"Marggraff, Annie","SR","Washington U.",05:56:00,22:10:00,86,"3:40.2 (3:40.2)","11:04.6 (7:24.5)",190,"Midwest","Participant"
"134",134,134,"Joosse, Emily","SR","Hope",05:56:00,22:10:00,87,"3:30.4 (3:30.4)","10:48.2 (7:17.9)",228,"Great Lakes","Participant"
"135",135,135,"Giannetti, Nicole","JR","Haverford",05:56:00,22:10:00,88,"3:36.6 (3:36.6)","10:53.6 (7:17.1)",72,"Mideast","Participant"
"136",136,136,"Keyser-Gibson, Amelia","JR","Haverford",05:57:00,22:11:00,89,"3:31.7 (3:31.7)","10:47.5 (7:15.9)",72,"Mideast","Participant"
"137",137,137,"Lowe, Avery","SO","Hope",05:57:00,22:11:00,90,"3:30.8 (3:30.8)","10:49.2 (7:18.4)",228,"Great Lakes","Participant"
"138",138,138,"Crimmins, Allison","SR","Colorado College",05:57:00,22:12:00,91,"3:40.6 (3:40.6)","10:54.4 (7:13.9)",125,"West","Participant"
"139",139,139,"Flanagan, Kelly","SR","SUNY Geneseo",05:57:00,22:12:00,92,"3:34.1 (3:34.1)","10:53.7 (7:19.7)",31,"Atlantic","Participant"
"140",140,140,"Atkeson, Lindsay","SR","Tufts",05:57:00,22:13:00,93,"3:33.8 (3:33.8)","10:53.2 (7:19.5)",138,"New England","Participant"
"141",141,141,"Pedro-Trujillo, Thais","JR","Whitworth",05:57:00,22:13:00,94,"3:36.9 (3:36.9)","10:55.3 (7:18.4)",129,"West","Participant"
"142",142,142,"Valle, Roxanne","SO","Occidental",05:57:00,22:13:00,NA,"3:29.5 (3:29.5)","10:42.9 (7:13.4)",120,"West","Participant"
"143",143,143,"Patterson, Danielle","SR","Berry",05:58:00,22:14:00,NA,"3:39.0 (3:39.0)","10:56.1 (7:17.1)",265,"South","Participant"
"144",144,144,"Janto, Kayla","SR","St. Thomas (Minn.)",05:58:00,22:15:00,95,"3:35.2 (3:35.2)","10:56.7 (7:21.6)",4,"Central","Participant"
"145",145,145,"Cox, Samantha","SR","Tufts",05:58:00,22:16:00,96,"3:34.0 (3:34.0)","10:52.2 (7:18.3)",138,"New England","Participant"
"146",146,146,"Gaines, Jessica","SR","Hope",05:58:00,22:16:00,97,"3:31.7 (3:31.7)","10:48.3 (7:16.6)",228,"Great Lakes","Participant"
"147",147,147,"Bolton, Karina","SO","RPI",05:58:00,22:17:00,98,"3:41.3 (3:41.3)","11:02.6 (7:21.3)",32,"Atlantic","Participant"
"148",148,148,"LaMarche, Olivia","FR","Bates",05:58:00,22:17:00,99,"3:37.5 (3:37.5)","10:57.5 (7:20.0)",139,"New England","Participant"
"149",149,149,"Peregrine, Kelly","FR","Hope",05:58:00,22:17:00,100,"3:33.6 (3:33.6)","10:54.7 (7:21.2)",228,"Great Lakes","Participant"
"150",150,150,"Trujillo, Claire","SR","Carleton",05:58:00,22:17:00,101,"3:37.5 (3:37.5)","10:57.7 (7:20.3)",1,"Central","Participant"
"151",151,151,"Dery, Madeline","SR","RPI",05:58:00,22:18:00,102,"3:42.2 (3:42.2)","11:09.8 (7:27.6)",32,"Atlantic","Participant"
"152",152,152,"Pacilio, Jamie","SR","Muhlenberg",05:58:00,22:18:00,NA,"3:25.8 (3:25.8)","10:35.7 (7:10.0)",294,"Mideast","Participant"
"153",153,153,"Voss, Rebecca","JR","Wis.-La Crosse",05:59:00,22:18:00,103,"3:31.6 (3:31.6)","10:48.0 (7:16.5)",192,"Midwest","Participant"
"154",154,154,"Messick, Stefani","SR","Colorado College",05:59:00,22:18:00,104,"3:34.6 (3:34.6)","10:54.8 (7:20.2)",125,"West","Participant"
"155",155,155,"Biondo, Angelina","SO","DeSales",05:59:00,22:18:00,105,"3:28.0 (3:28.0)","10:54.1 (7:26.1)",98,"Mideast","Participant"
"156",156,156,"Perschetz, Lauren","SR","Plattsburgh St.",05:59:00,22:19:00,NA,"3:32.7 (3:32.7)","10:49.4 (7:16.8)",296,"Atlantic","Participant"
"157",157,157,"Cook, Katherine","JR","Bates",05:59:00,22:19:00,106,"3:33.4 (3:33.4)","10:46.8 (7:13.5)",139,"New England","Participant"
"158",158,158,"Mejia, Carmen","SR","Claremont-Mudd-Scripps",05:59:00,22:20:00,107,"3:34.7 (3:34.7)","11:01.9 (7:27.3)",118,"West","Participant"
"159",159,159,"Scott, Bailey","JR","Whitworth",05:59:00,22:20:00,108,"3:37.4 (3:37.4)","11:00.1 (7:22.7)",129,"West","Participant"
"160",160,160,"Coombs, Marissa","JR","Virginia Wesleyan",05:59:00,22:21:00,NA,"3:33.2 (3:33.2)","10:54.4 (7:21.3)",288,"South","Participant"
"161",161,161,"Martin, Malea","SO","Claremont-Mudd-Scripps",05:59:00,22:22:00,109,"3:33.2 (3:33.2)","10:55.6 (7:22.5)",118,"West","Participant"
"162",162,162,"Popovitch, Olivia","SR","Oneonta",06:00:00,22:22:00,110,"3:36.3 (3:36.3)","10:56.7 (7:20.4)",56,"Atlantic","Participant"
"163",163,163,"Horvath, Minnie","JR","U. of Chicago",06:00:00,22:22:00,111,"3:36.0 (3:36.0)","10:56.8 (7:20.8)",191,"Midwest","Participant"
"164",164,164,"Lundberg, Kristen","FR","Calvin",06:00:00,22:22:00,112,"3:37.2 (3:37.2)","10:56.7 (7:19.6)",230,"Great Lakes","Participant"
"165",165,165,"Cavanagh, Hanna","SR","Oneonta",06:00:00,22:22:00,113,"3:36.3 (3:36.3)","10:56.6 (7:20.4)",56,"Atlantic","Participant"
"166",166,166,"Frazee, Alissa","JR","Hope",06:00:00,22:22:00,114,"3:33.4 (3:33.4)","10:52.9 (7:19.6)",228,"Great Lakes","Participant"
